City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitud,Max Temperature,Wind Speed
346,Tehachapi,1,US,1580603196,31,35.13,-118.45,22.22,3.6
347,Jalu,0,LY,1580603368,56,29.03,21.55,13.76,1.95
348,Kawalu,100,ID,1580603368,84,-7.38,108.21,23.28,1.23
349,Chui,0,UY,1580603369,76,-33.7,-53.46,21.03,4.92
350,Emmerich,75,DE,1580603369,70,51.83,6.25,9.44,7.7
351,Santa Maria,7,BR,1580603096,78,-29.68,-53.81,24.0,1.0
352,Kollam,20,IN,1580603370,88,8.88,76.6,26.0,1.5
353,Mount Isa,100,AU,1580603370,70,-20.73,139.5,29.0,3.1
354,Olafsvik,71,IS,1580603370,83,64.89,-23.71,-1.04,4.3
355,Fremont,1,US,1580603102,68,37.55,-121.99,20.56,3.1
356,Juneau,75,US,1580603106,79,58.3,-134.42,-0.56,4.1
357,Manchester,40,GB,1580603273,93,53.48,-2.24,7.78,1.5
358,Riacho de Santana,36,BR,1580603371,61,-13.61,-42.94,28.0,2.1
359,Rorvik,95,NO,1580603371,73,64.86,11.24,6.36,14.62
360,Kununurra,75,AU,1580603372,88,-15.77,128.73,27.0,2.1
361,Kavaratti,56,IN,1580603372,68,10.57,72.64,26.24,2.38
362,Road Town,20,VG,1580603373,78,18.42,-64.62,26.11,4.1
363,Tall Kayf,0,TR,1580603373,86,37.08,41.07,1.0,4.1
364,Hasaki,20,JP,1580603373,48,35.73,140.83,7.22,4.1
365,Xining,99,CN,1580603373,94,36.62,101.77,-10.99,0.91
366,Santa Isabel do Rio Negro,100,BR,1580603374,87,-0.41,-65.02,25.58,1.25
367,Hofn,100,IS,1580603374,89,64.25,-15.21,0.81,7.16
